delivery_id,order_id,delivery_status,delivery_time,rider_id
1,1,Not Delivered,31 mins,374
2,2,Delivered,46 mins,54
3,3,In Transit,27 mins,172
4,4,Delivered,93 mins,432
5,5,Delivered,117 mins,328
6,6,In Transit,46 mins,247
7,7,Delivered,115 mins,398
8,8,Delivered,109 mins,399
9,9,Delivered,80 mins,166
10,10,In Transit,51 mins,488
11,11,Delivered,97 mins,288
12,12,Not Delivered,91 mins,29
13,13,In Transit,106 mins,479
14,14,Delivered,78 mins,418
15,15,Delivered,104 mins,444
16,16,In Transit,77 mins,192
17,17,Not Delivered,62 mins,19
18,18,In Transit,47 mins,233
19,19,Delivered,103 mins,231
20,20,Delivered,100 mins,488
21,21,In Transit,116 mins,316
22,22,Not Delivered,101 mins,34
23,23,In Transit,39 mins,355
24,24,In Transit,117 mins,377
25,25,In Transit,96 mins,212
26,26,Not Delivered,85 mins,484
27,27,In Transit,72 mins,260
28,28,Not Delivered,114 mins,298
29,29,In Transit,60 mins,183
30,30,Not Delivered,47 mins,139
31,31,Not Delivered,40 mins,184
32,32,Delivered,93 mins,309
33,33,Delivered,82 mins,254
34,34,Not Delivered,69 mins,129
35,35,Delivered,111 mins,86
36,36,Delivered,40 mins,441
37,37,Delivered,93 mins,51
38,38,In Transit,77 mins,259
39,39,Delivered,71 mins,304
40,40,Not Delivered,54 mins,119
41,41,Not Delivered,48 mins,197
42,42,Delivered,25 mins,277
43,43,In Transit,82 mins,494
44,44,Not Delivered,32 mins,311
45,45,Delivered,50 mins,327
46,46,In Transit,50 mins,224
47,47,In Transit,36 mins,442
48,48,In Transit,103 mins,83
49,49,In Transit,81 mins,64
50,50,Delivered,104 mins,305
51,51,Not Delivered,57 mins,14
52,52,Delivered,48 mins,155
53,53,Not Delivered,52 mins,277
54,54,Not Delivered,70 mins,481
55,55,Not Delivered,25 mins,158
56,56,In Transit,64 mins,146
57,57,Not Delivered,100 mins,329
58,58,In Transit,21 mins,135
59,59,Not Delivered,94 mins,165
60,60,Not Delivered,18 mins,307
61,61,Delivered,110 mins,140
62,62,Delivered,81 mins,118
63,63,In Transit,118 mins,281
64,64,In Transit,85 mins,312
65,65,Not Delivered,25 mins,305
66,66,Delivered,15 mins,27
67,67,Not Delivered,40 mins,117
68,68,Not Delivered,111 mins,260
69,69,Not Delivered,36 mins,239
70,70,In Transit,36 mins,81
71,71,Delivered,73 mins,6
72,72,Delivered,30 mins,313
73,73,Delivered,91 mins,229
74,74,Not Delivered,15 mins,324
75,75,Not Delivered,59 mins,207
76,76,Delivered,31 mins,401
77,77,Not Delivered,15 mins,193
78,78,Delivered,109 mins,321
79,79,Delivered,33 mins,9
80,80,Delivered,57 mins,3
81,81,Not Delivered,111 mins,461
82,82,In Transit,42 mins,398
83,83,Not Delivered,68 mins,144
84,84,In Transit,104 mins,482
85,85,In Transit,106 mins,385
86,86,Not Delivered,36 mins,31
87,87,In Transit,113 mins,131
88,88,Not Delivered,102 mins,147
89,89,Not Delivered,87 mins,375
90,90,In Transit,59 mins,330
91,91,Delivered,104 mins,318
92,92,Delivered,20 mins,445
93,93,In Transit,90 mins,309
94,94,In Transit,117 mins,73
95,95,Delivered,29 mins,492
96,96,In Transit,105 mins,296
97,97,Not Delivered,43 mins,154
98,98,Delivered,106 mins,376
99,99,In Transit,87 mins,255
100,100,Not Delivered,54 mins,222
101,101,Delivered,58 mins,14
102,102,Delivered,25 mins,496
103,103,Delivered,90 mins,434
104,104,Not Delivered,84 mins,52
105,105,Delivered,60 mins,441
106,106,Not Delivered,22 mins,158
107,107,In Transit,109 mins,500
108,108,Delivered,93 mins,133
109,109,Delivered,78 mins,32
110,110,Not Delivered,49 mins,68
111,111,Delivered,108 mins,389
112,112,Not Delivered,25 mins,186
113,113,Not Delivered,45 mins,365
114,114,Delivered,119 mins,306
115,115,Delivered,48 mins,358
116,116,Not Delivered,114 mins,24
117,117,In Transit,23 mins,460
118,118,Delivered,45 mins,208
119,119,In Transit,34 mins,80
120,120,In Transit,28 mins,210
121,121,Delivered,113 mins,207
122,122,Delivered,24 mins,463
123,123,In Transit,77 mins,435
124,124,In Transit,56 mins,134
125,125,Delivered,76 mins,358
126,126,In Transit,33 mins,383
127,127,Not Delivered,62 mins,304
128,128,Delivered,68 mins,115
129,129,Not Delivered,85 mins,184
130,130,In Transit,109 mins,83
131,131,In Transit,89 mins,14
132,132,In Transit,43 mins,434
133,133,In Transit,94 mins,500
134,134,In Transit,104 mins,376
135,135,Not Delivered,98 mins,198
136,136,Delivered,63 mins,75
137,137,Delivered,108 mins,334
138,138,Delivered,108 mins,462
139,139,Delivered,35 mins,177
140,140,Not Delivered,90 mins,460
141,141,Delivered,18 mins,163
142,142,Not Delivered,72 mins,161
143,143,In Transit,40 mins,21
144,144,Not Delivered,46 mins,29
145,145,In Transit,26 mins,300
146,146,In Transit,72 mins,374
147,147,Delivered,62 mins,466
148,148,Delivered,101 mins,410
149,149,Not Delivered,84 mins,465
150,150,In Transit,68 mins,72
151,151,In Transit,107 mins,35
152,152,In Transit,120 mins,112
153,153,Not Delivered,41 mins,299
154,154,Not Delivered,107 mins,194
155,155,Not Delivered,47 mins,439
156,156,Not Delivered,85 mins,475
157,157,Not Delivered,105 mins,227
158,158,Not Delivered,63 mins,98
159,159,Not Delivered,61 mins,111
160,160,Delivered,64 mins,127
161,161,In Transit,35 mins,120
162,162,In Transit,103 mins,397
163,163,Not Delivered,50 mins,124
164,164,In Transit,18 mins,296
165,165,Not Delivered,84 mins,152
166,166,Delivered,120 mins,104
167,167,Delivered,103 mins,172
168,168,Delivered,52 mins,462
169,169,Not Delivered,39 mins,2
170,170,Not Delivered,39 mins,339
171,171,In Transit,110 mins,153
172,172,In Transit,97 mins,295
173,173,Not Delivered,77 mins,97
174,174,Not Delivered,41 mins,317
175,175,In Transit,120 mins,247
176,176,Delivered,85 mins,130
177,177,In Transit,23 mins,477
178,178,Delivered,99 mins,64
179,179,Delivered,67 mins,204
180,180,In Transit,119 mins,407
181,181,Not Delivered,85 mins,171
182,182,Delivered,33 mins,194
183,183,Not Delivered,83 mins,20
184,184,In Transit,62 mins,358
185,185,In Transit,57 mins,156
186,186,Delivered,89 mins,245
187,187,Delivered,24 mins,411
188,188,Delivered,49 mins,347
189,189,In Transit,111 mins,484
190,190,Not Delivered,67 mins,248
191,191,Delivered,108 mins,210
192,192,Not Delivered,64 mins,309
193,193,In Transit,93 mins,235
194,194,Not Delivered,32 mins,468
195,195,Delivered,34 mins,500
196,196,Not Delivered,60 mins,473
197,197,Delivered,26 mins,375
198,198,Delivered,22 mins,485
199,199,In Transit,83 mins,55
200,200,Not Delivered,101 mins,79
201,201,Not Delivered,86 mins,254
202,202,Delivered,23 mins,24
203,203,Not Delivered,18 mins,203
204,204,Not Delivered,101 mins,216
205,205,Delivered,32 mins,354
206,206,Delivered,86 mins,129
207,207,Delivered,21 mins,134
208,208,Delivered,103 mins,435
209,209,Delivered,65 mins,274
210,210,Delivered,63 mins,487
211,211,Not Delivered,75 mins,307
212,212,In Transit,99 mins,449
213,213,Not Delivered,87 mins,47
214,214,In Transit,27 mins,88
215,215,In Transit,45 mins,160
216,216,Not Delivered,103 mins,334
217,217,Not Delivered,105 mins,190
