order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,3202,87,Veg Biryani,2024-05-07,19:27:58,Cancelled,1555.55
2,1258,226,Fried Rice,2025-11-24,09:56:55,Completed,527.34
3,1771,227,Chicken Biryani,2024-02-05,19:22:49,Cancelled,1645.64
4,3200,158,Paneer Curry,2025-10-18,03:44:33,Completed,1244.63
5,1653,128,Fried Rice,2024-02-19,13:44:25,Completed,495.97
6,229,8,Fried Rice,2024-01-17,15:21:10,Completed,1398.32
7,792,86,Pizza,2024-03-05,08:01:50,Completed,901.48
8,2644,288,Burger,2024-04-20,11:54:39,Cancelled,509.38
9,3506,62,Burger,2025-07-08,14:23:01,Completed,319.06
10,123,206,Fried Rice,2024-11-27,06:19:16,Completed,851.67
11,541,143,Fried Rice,2025-04-14,08:00:48,Completed,246.58
12,2471,256,Veg Biryani,2024-08-11,14:58:03,Cancelled,1128.02
13,2064,49,Fried Rice,2025-08-05,06:14:33,Cancelled,1429.07
14,2721,90,Fried Rice,2025-11-25,04:50:23,Cancelled,1026.41
15,4986,300,Paneer Curry,2024-12-09,00:38:33,Pending,1080.73
16,4125,7,Burger,2026-01-29,08:27:44,Completed,1278.74
17,1937,220,Burger,2024-05-07,11:14:41,Cancelled,269.25
18,4086,152,Burger,2024-05-20,13:38:09,Completed,826.41
19,1951,228,Fried Rice,2025-10-19,01:22:48,Completed,642.88
20,4267,213,Dosa,2025-10-21,01:26:31,Completed,550.54
21,2808,125,Burger,2026-01-20,12:03:40,Cancelled,221.66
22,1823,196,Fried Rice,2025-11-11,09:02:30,Completed,951.64
23,4028,36,Burger,2024-01-07,02:21:09,Completed,1312.61
24,1029,47,Pizza,2024-05-24,07:26:07,Cancelled,1151.83
25,4157,41,Pasta,2024-07-28,08:36:13,Cancelled,998.1
26,2007,218,Pizza,2024-06-17,07:11:31,Cancelled,588.06
27,3673,104,Dosa,2024-10-19,20:59:12,Pending,270.43
28,3095,86,Paneer Curry,2025-01-03,14:29:58,Pending,914.67
29,1277,247,Chicken Biryani,2025-09-16,15:46:50,Pending,923.51
30,4876,276,Pizza,2024-03-26,10:55:51,Cancelled,1486.1
31,3799,157,Paneer Curry,2024-09-20,13:51:06,Pending,825.28
32,590,171,Pizza,2025-09-12,17:30:25,Cancelled,1002.21
33,35,7,Fried Rice,2024-06-07,06:54:14,Pending,880.56
34,3057,197,Paneer Curry,2025-03-01,14:22:07,Pending,1325.17
35,3349,20,Veg Biryani,2025-08-25,02:35:36,Pending,1872.4
36,3575,131,Fried Rice,2024-06-15,07:04:17,Cancelled,1453.16
37,473,198,Pasta,2025-10-12,13:24:18,Cancelled,583.97
38,2961,15,Pizza,2025-05-04,01:15:22,Pending,1258.22
39,2084,127,Pizza,2025-11-28,05:21:55,Completed,339.45
40,3149,204,Veg Biryani,2024-04-04,23:27:42,Cancelled,1830.7
41,3497,130,Dosa,2025-03-09,06:02:14,Cancelled,1939.24
42,4802,158,Pasta,2025-11-05,13:56:12,Cancelled,1754.51
43,4691,177,Pizza,2024-04-21,23:09:45,Pending,1527.61
44,2524,4,Pizza,2026-02-05,14:29:22,Pending,122.97
45,4301,214,Dosa,2024-03-12,15:12:47,Cancelled,930.19
46,1527,69,Burger,2024-06-29,13:38:26,Pending,462.13
47,4646,109,Pizza,2024-04-22,16:24:29,Completed,230.89
48,2125,210,Paneer Curry,2024-07-06,06:59:10,Cancelled,1836.39
49,1361,41,Dosa,2024-04-21,23:10:18,Completed,830.13
50,2803,16,Burger,2024-10-10,02:20:23,Pending,1032.17
51,78,32,Dosa,2026-02-17,03:40:13,Completed,1370.81
52,1730,268,Chicken Biryani,2024-02-12,03:31:33,Pending,1253.61
53,3981,243,Fried Rice,2026-02-18,09:40:43,Cancelled,927.37
54,2583,123,Fried Rice,2025-01-14,12:29:27,Cancelled,869.13
55,2917,170,Veg Biryani,2025-09-17,02:05:02,Completed,979.01
56,1138,14,Veg Biryani,2025-12-16,14:37:45,Cancelled,645.4
57,3019,232,Paneer Curry,2025-12-17,09:02:56,Cancelled,896.68
58,2640,9,Fried Rice,2024-07-11,00:06:50,Completed,1942.84
59,3640,120,Paneer Curry,2026-01-23,11:51:07,Pending,1509.7
60,3506,244,Veg Biryani,2024-03-24,12:40:56,Cancelled,843.53
61,1173,267,Chicken Biryani,2025-09-13,07:06:09,Completed,1056.1
62,4496,240,Pizza,2024-03-30,10:58:18,Pending,1915.5
63,1974,125,Burger,2025-05-08,19:41:06,Completed,1536.11
64,865,223,Chicken Biryani,2025-11-06,03:15:22,Completed,1866.53
65,2297,113,Dosa,2024-11-30,13:57:44,Cancelled,1015.45
66,1113,274,Paneer Curry,2025-11-17,04:28:54,Completed,1615.62
67,4719,34,Fried Rice,2024-12-06,08:08:54,Pending,1831.11
68,4604,224,Burger,2026-01-30,13:53:43,Completed,607.1
69,913,46,Fried Rice,2024-10-24,03:11:32,Cancelled,1233.34
70,4693,189,Pizza,2024-07-11,04:13:38,Pending,1913.65
71,2547,32,Burger,2025-08-13,00:03:40,Pending,1962.12
72,1035,267,Burger,2024-11-23,13:17:24,Completed,863.19
73,2589,75,Dosa,2025-07-05,16:46:12,Completed,1059.69
74,4928,146,Pizza,2025-04-11,05:22:03,Cancelled,1370.86
75,4907,164,Dosa,2025-12-20,01:15:01,Cancelled,1981.83
76,4702,245,Burger,2024-05-06,09:57:21,Pending,668.01
77,2730,79,Burger,2025-01-20,02:08:28,Cancelled,1876.73
78,1467,250,Pasta,2024-08-18,01:54:49,Pending,1970.65
79,177,281,Pasta,2025-11-06,05:47:45,Pending,914.18
